student_id,study_hours,attendance_pct,previous_gpa,sleep_hours,extracurricular,tutoring_sessions,grade
229,7.43,82.9,3.99,8.71,Yes,4,B
230,8.28,75.7,3.6,5.49,Yes,5,B
231,3.82,91.6,2.94,4.0,No,3,C
232,12.09,81.6,3.7,8.65,No,5,A
233,8.54,75.3,3.17,5.95,Yes,4,B
234,10.6,89.3,3.76,6.03,Yes,5,A
235,6.26,54.6,2.96,9.44,No,0,C
236,2.6,52.3,1.61,5.6,No,2,F
237,3.9,73.8,3.27,8.03,No,2,C
238,5.48,92.7,3.53,6.7,Yes,4,B
239,6.06,93.2,2.74,7.83,No,3,C
240,5.94,81.6,2.5,6.55,Yes,4,C
241,10.18,90.1,3.35,7.82,Yes,5,A
242,8.15,93.7,3.99,8.46,Yes,2,B
243,7.57,79.0,3.88,5.25,Yes,4,B
244,11.93,97.9,3.7,8.92,Yes,6,A
245,6.47,80.9,2.78,8.78,Yes,5,B
246,2.27,56.0,1.44,7.16,Yes,0,F
247,7.7,73.8,3.04,5.66,Yes,4,B
248,1.99,57.8,1.0,6.82,No,1,F
249,6.85,70.5,3.24,7.16,No,4,C
250,7.91,91.3,2.85,7.29,No,4,C
251,9.29,70.7,3.44,4.16,Yes,6,B
252,3.5,84.2,2.58,4.7,Yes,1,C
253,9.37,82.8,3.52,,Yes,3,B
254,6.84,88.4,2.45,8.72,Yes,4,B
255,3.21,50.4,1.96,6.85,No,2,C
256,7.28,93.5,2.56,7.92,Yes,5,B
257,8.45,75.5,2.94,7.86,Yes,4,B
258,5.6,59.5,2.13,4.51,No,5,C
259,11.91,90.9,3.04,7.43,Yes,7,A
260,11.8,82.6,2.77,5.79,No,5,B
261,5.43,84.6,2.96,8.8,Yes,1,B
262,7.64,82.4,3.36,8.88,Yes,4,B
263,4.74,62.0,1.72,7.43,No,4,C
264,14.44,95.3,3.04,,Yes,7,A
265,10.73,75.6,3.45,7.51,Yes,4,B
266,6.13,57.5,1.77,3.5,Yes,4,C
267,1.0,58.4,2.29,4.66,No,0,F
268,5.07,67.9,1.29,7.77,No,1,C
269,1.5,84.5,2.23,7.67,No,2,C
270,1.9,80.0,1.67,6.06,No,1,F
271,8.71,85.8,3.0,6.79,No,4,B
272,5.14,58.7,3.5,7.54,No,1,C
273,3.99,63.9,2.07,7.26,No,3,F
274,2.83,45.0,1.76,3.55,No,1,F
275,12.47,98.2,,6.96,Yes,7,A
276,4.97,71.4,2.61,7.47,No,4,C
277,2.65,59.7,1.64,8.77,No,3,C
278,13.36,92.6,4.0,8.27,Yes,6,A
279,10.24,94.5,3.5,6.39,No,4,A
280,7.63,91.2,3.0,6.91,Yes,5,B
281,13.17,85.8,3.22,8.22,No,4,B
282,9.53,86.2,3.15,6.31,No,4,B
283,4.08,71.2,1.24,7.76,No,4,F
284,5.23,86.9,2.72,5.8,Yes,3,C
285,6.19,69.6,2.26,5.95,Yes,2,F
286,4.84,46.5,2.18,3.45,No,1,F
287,6.95,72.2,2.16,7.68,No,5,C
288,11.0,88.3,2.91,,Yes,4,B
289,11.48,75.3,3.76,6.63,Yes,6,B
290,6.12,64.0,1.95,5.61,No,6,C
291,6.15,77.5,2.64,7.15,No,3,C
292,7.58,82.7,3.57,6.47,Yes,3,B
293,5.62,56.6,2.67,5.92,No,1,C
294,1.0,80.0,1.97,5.01,No,1,F
295,5.25,72.4,2.21,3.5,No,3,C
296,12.79,86.0,4.0,7.06,Yes,6,A
297,6.33,73.2,3.1,,Yes,4,B
298,7.76,90.2,2.95,6.09,No,6,A
299,10.37,90.3,,7.5,Yes,5,A
300,8.85,87.3,2.47,6.86,Yes,4,C
301,10.34,88.8,3.66,7.33,Yes,4,A
302,11.03,96.2,3.43,7.4,Yes,6,A
303,12.84,96.7,3.63,7.31,Yes,7,A
304,5.32,66.6,2.6,6.49,No,2,C
305,3.11,40.0,1.65,3.39,No,2,F
306,9.33,79.5,2.89,,Yes,3,B
307,5.31,75.4,,4.37,No,3,C
308,6.39,76.5,2.42,8.6,No,4,C
309,11.84,73.5,3.12,6.4,Yes,6,B
310,3.9,40.0,1.6,3.63,No,2,F
311,10.73,91.2,2.65,7.01,No,6,B
312,6.49,91.1,3.02,6.82,Yes,3,B
313,8.72,86.5,3.45,6.21,Yes,5,B
314,5.44,71.8,3.08,8.21,No,2,C
315,6.65,72.9,2.39,8.9,Yes,3,C
316,8.65,72.7,3.0,6.0,Yes,2,C
317,2.67,66.2,1.54,5.86,No,2,F
318,4.57,71.2,2.72,6.73,No,2,C
319,7.54,88.2,3.32,7.85,Yes,5,B
320,3.08,63.9,2.24,7.12,No,2,C
321,7.28,90.8,3.33,6.3,Yes,5,B
322,6.54,89.0,1.64,4.92,No,1,C
323,2.71,40.0,1.24,7.01,No,2,F
324,12.5,93.1,3.59,8.0,Yes,6,A
325,8.96,67.8,3.0,6.42,Yes,3,B
326,2.15,54.7,2.94,9.28,Yes,1,C
327,13.39,94.8,4.0,7.41,Yes,6,A
328,9.34,87.4,3.07,8.25,Yes,6,B
329,4.1,54.1,2.43,4.55,No,2,C
330,7.77,78.5,3.47,6.77,No,4,B
331,5.38,75.5,,8.9,No,3,C
332,4.79,48.0,2.39,4.14,No,1,C
333,11.06,81.2,3.11,9.14,No,5,B
334,7.51,73.2,2.77,7.25,No,4,C
335,12.34,86.9,3.43,6.37,No,6,A
336,7.57,93.2,3.64,7.6,Yes,2,A
337,10.53,94.3,3.58,6.92,Yes,7,A
338,9.41,90.4,3.37,9.0,Yes,7,A
339,4.75,62.6,1.73,7.14,No,1,F
340,8.55,94.3,2.99,6.11,Yes,4,B
341,12.38,100.0,3.11,7.82,Yes,7,A
342,9.71,82.2,3.51,7.31,Yes,4,B
343,9.79,99.0,3.18,9.73,Yes,5,A
344,8.94,75.6,1.87,6.81,No,3,C
345,9.24,53.0,2.13,7.63,Yes,4,C
346,7.9,79.6,2.74,7.08,Yes,5,B
347,3.58,66.6,2.18,8.13,No,3,C
348,9.21,72.7,3.24,8.26,Yes,5,B
349,6.81,65.5,1.92,7.66,Yes,3,C
350,9.16,57.3,2.32,6.84,No,3,C
351,2.65,76.7,2.56,4.95,No,1,F
352,6.0,87.8,2.23,5.76,No,3,C
353,9.85,78.9,,8.75,No,5,B
354,3.29,67.9,2.58,9.15,No,3,C
355,2.87,57.1,2.75,7.24,No,1,F
356,7.18,86.3,2.91,8.05,No,5,C
357,2.42,58.1,1.9,8.79,No,3,C
358,4.54,68.5,1.85,5.23,No,3,C
359,8.85,88.4,3.35,6.29,Yes,3,B
360,10.11,80.2,3.16,7.71,Yes,4,B
361,7.62,82.4,2.48,7.11,Yes,3,B
362,9.12,86.5,3.45,8.6,Yes,3,B
363,9.79,85.4,3.65,8.2,Yes,5,B
364,2.56,77.0,3.5,7.2,Yes,1,C
365,4.69,64.8,2.85,5.96,No,2,C
366,8.41,86.5,3.1,9.03,Yes,5,B
367,9.81,90.2,3.41,5.92,Yes,7,A
368,7.89,67.0,2.94,8.16,No,2,C
369,10.39,80.3,3.23,6.36,Yes,5,B
370,11.38,88.7,3.59,8.57,Yes,5,A
371,11.0,82.8,2.95,7.84,Yes,4,B
372,7.07,80.6,3.02,6.86,Yes,4,B
373,6.1,67.7,2.57,7.42,No,3,C
374,7.81,91.3,2.83,4.61,Yes,6,B
375,4.66,45.0,1.77,5.98,No,2,F
376,6.02,77.0,2.7,4.07,No,1,C
377,4.0,82.2,2.22,6.89,No,2,C
378,8.3,97.2,3.12,5.07,Yes,3,B
379,7.22,83.8,3.61,7.1,Yes,3,B
380,5.4,79.8,2.25,5.69,No,3,C
381,4.02,54.5,1.79,4.78,Yes,3,F
382,9.63,79.8,3.5,5.84,No,5,C
383,9.59,93.8,3.19,5.81,No,3,B
384,6.21,51.1,2.0,6.77,No,3,C
385,5.8,86.5,3.3,5.54,Yes,4,B
386,7.77,68.9,2.92,5.49,No,3,C
387,2.24,54.8,1.96,6.39,Yes,0,F
388,2.35,78.5,2.81,5.7,No,3,C
389,8.1,87.4,3.23,7.07,Yes,2,B
390,10.37,81.6,2.52,7.15,Yes,7,B
391,6.62,95.0,2.51,6.58,No,4,C
392,5.26,63.9,1.64,3.99,No,2,F
393,5.74,53.5,2.57,3.84,No,3,C
394,10.9,84.2,2.45,8.32,Yes,4,B
395,11.22,89.7,2.72,5.62,Yes,7,B
396,11.57,94.2,3.32,6.74,Yes,7,A
397,6.49,75.6,3.31,5.45,Yes,4,C
398,5.68,61.7,2.89,7.52,No,3,C
399,6.16,63.7,1.68,5.59,No,2,C
400,5.48,78.1,3.27,7.51,Yes,2,C
401,10.85,91.6,3.53,6.82,Yes,5,A
402,10.03,83.1,3.78,8.28,Yes,6,A
403,5.75,93.7,3.37,8.86,Yes,4,B
404,4.99,70.1,3.62,7.56,Yes,4,B
405,3.45,88.0,2.34,7.53,No,2,C
406,8.84,77.4,3.03,5.46,Yes,5,B
407,9.29,89.8,3.64,4.42,Yes,5,B
408,9.91,85.7,2.9,7.76,Yes,6,A
409,8.78,82.7,3.13,5.65,Yes,4,B
410,5.35,58.9,3.36,5.94,Yes,3,C
411,9.73,97.4,3.35,5.87,No,5,A
412,2.16,71.7,2.36,,No,1,F
413,5.52,71.3,1.7,6.6,No,3,C
414,5.75,63.6,2.64,6.72,No,3,C
415,5.84,81.4,2.41,6.73,No,4,C
416,5.9,63.2,2.86,5.54,No,3,C
417,4.86,65.3,2.48,5.48,Yes,2,C
418,5.3,73.1,,7.23,No,4,C
419,1.77,78.8,1.79,7.32,No,2,C
420,11.29,66.8,3.05,8.79,Yes,5,B
421,2.39,40.0,1.76,6.15,No,0,F
422,8.41,84.1,3.9,8.47,Yes,6,A
423,2.56,63.4,2.65,5.43,No,1,C
424,3.37,40.0,1.77,7.05,Yes,2,F
425,1.5,54.4,1.92,7.26,No,1,C
426,5.41,45.6,2.49,5.15,No,1,F
427,4.02,54.5,,5.93,No,3,C
428,7.79,100.0,4.0,8.33,Yes,4,A
429,6.03,52.7,1.73,4.77,No,3,F
430,9.48,90.0,2.69,8.76,Yes,3,B
431,3.99,64.6,2.18,4.9,No,3,C
432,7.57,64.2,2.55,8.86,No,5,C
433,8.71,86.1,3.24,6.0,Yes,4,B
434,13.34,91.5,3.92,6.74,No,6,A
435,8.14,77.5,3.18,5.74,Yes,4,B
436,3.36,51.6,2.13,6.55,Yes,2,F
437,7.26,70.0,2.04,7.03,No,3,C
438,6.32,70.7,2.12,8.11,Yes,3,C
439,15.0,100.0,3.5,6.43,Yes,7,A
440,5.93,79.5,1.95,6.85,No,3,C
441,10.03,94.1,3.58,6.75,Yes,6,A
442,5.94,70.7,2.68,7.1,No,3,C
443,10.99,97.4,3.52,6.4,No,4,A
444,9.83,90.2,3.7,7.69,Yes,5,A
445,10.72,79.3,2.78,8.07,Yes,5,B
446,8.05,82.7,2.47,7.51,Yes,5,B
447,1.5,60.0,2.51,5.71,Yes,2,C
448,11.42,91.5,3.34,7.68,Yes,7,A
449,5.75,88.7,2.75,7.21,Yes,3,B
450,7.73,72.9,1.96,6.32,No,3,C
451,3.88,77.5,1.98,7.19,No,2,C
452,9.61,89.9,3.65,7.46,No,5,B
453,14.0,92.4,3.98,8.3,Yes,7,A
454,5.8,69.1,3.2,6.68,No,5,C
455,4.01,45.0,1.33,7.27,No,2,F
456,9.1,84.7,2.43,9.25,No,5,B
457,5.7,87.1,3.12,7.24,No,1,C
458,9.37,82.8,2.71,7.64,Yes,5,B
459,6.48,82.2,3.08,6.49,No,4,B
460,6.3,72.8,2.02,8.18,Yes,5,C
461,2.67,79.3,2.61,8.62,No,3,C
462,10.29,71.8,1.73,7.34,No,4,C
463,9.96,83.5,2.94,7.81,Yes,5,B
464,5.63,79.7,2.19,6.84,No,1,C
465,14.72,94.8,3.74,9.1,No,7,A
466,7.18,79.2,3.59,7.8,Yes,6,A
467,12.56,98.7,3.47,6.82,Yes,7,A
468,3.0,74.1,2.59,5.76,Yes,3,B
469,14.29,93.4,3.31,8.29,Yes,6,A
470,10.37,82.9,3.32,7.83,Yes,5,B
471,8.5,68.1,3.7,8.71,Yes,4,B
472,5.83,46.2,1.0,6.12,No,3,F
473,3.5,58.9,2.3,5.41,No,0,F
474,1.01,43.4,1.35,6.77,Yes,1,F
475,5.74,78.7,2.52,5.69,Yes,3,C
476,8.19,72.4,3.74,6.76,No,4,B
477,9.77,76.0,2.91,7.6,Yes,3,B
478,7.47,66.8,2.81,5.41,No,2,B
479,8.71,78.4,2.48,6.66,Yes,5,B
480,12.39,86.3,3.33,6.93,Yes,3,B
481,2.17,74.0,1.6,7.38,No,2,F
482,8.04,70.8,2.54,4.32,Yes,5,B
483,3.29,78.3,3.01,5.83,No,1,C
484,7.85,85.2,3.92,7.61,Yes,4,B
485,6.23,77.0,3.67,6.86,Yes,3,B
486,5.88,58.6,2.21,7.9,No,5,C
487,6.16,83.8,3.26,6.64,Yes,5,B
488,10.77,90.8,3.52,7.03,Yes,4,A
489,2.6,45.3,2.1,,No,1,F
490,3.9,71.7,2.45,7.81,Yes,2,C
491,9.39,78.8,3.06,6.3,Yes,4,B
492,3.57,54.3,2.37,6.0,No,2,F
493,8.43,75.5,3.18,5.68,Yes,4,B
494,2.99,62.8,2.73,4.53,Yes,3,C
495,9.53,77.6,2.77,6.67,No,5,B
496,6.42,73.8,3.24,5.16,Yes,2,B
497,10.44,89.0,2.71,5.45,Yes,4,B
498,7.25,87.3,3.01,8.15,Yes,1,B
499,2.9,69.3,2.42,5.69,No,2,C
500,5.64,99.8,3.12,7.86,Yes,2,B
501,13.02,87.1,4.0,8.92,Yes,8,A
502,7.84,76.2,3.71,8.72,Yes,5,B
503,11.67,91.2,3.34,6.54,Yes,5,A
504,7.27,70.2,2.5,5.19,No,2,C
505,10.32,95.5,3.41,5.89,Yes,5,A
506,2.62,47.2,,3.99,No,2,F
507,8.34,69.6,3.37,7.87,Yes,4,B
508,12.24,87.1,2.93,8.01,Yes,6,A
509,5.27,81.4,3.48,5.97,Yes,4,C
510,6.87,76.2,,7.24,No,3,C
511,1.5,74.1,2.74,5.49,No,1,C
512,8.76,76.6,3.39,8.27,Yes,5,B
513,9.07,63.3,3.23,7.52,No,4,C
514,3.79,60.2,2.49,4.19,No,3,C
515,10.06,77.8,3.11,7.0,No,4,B
516,9.61,87.5,3.57,7.6,Yes,6,A
517,5.45,62.6,2.24,5.77,No,4,C
518,1.9,44.7,1.13,8.67,No,1,F
519,8.81,81.5,1.69,7.49,No,5,C
520,9.51,76.3,2.99,7.29,Yes,4,B
521,8.78,77.7,2.94,7.63,Yes,6,B
522,5.99,80.4,2.03,8.02,No,3,C
523,6.5,74.9,2.32,,No,3,C
524,3.46,84.9,3.73,7.18,Yes,3,B
525,1.47,50.6,2.54,4.39,No,2,F
526,8.19,91.9,3.1,5.97,Yes,3,B
527,10.51,98.3,2.7,8.44,Yes,5,B
528,5.28,67.0,2.76,5.05,No,4,C
529,8.29,81.9,2.47,7.33,Yes,4,C
530,1.96,65.2,1.63,5.36,No,1,F
531,8.42,87.9,2.48,5.41,Yes,4,B
532,2.05,45.5,1.89,4.36,No,1,F
533,4.03,49.7,2.32,3.5,No,2,C
534,8.98,91.4,3.69,6.24,No,5,A
535,5.28,64.6,2.03,6.17,No,2,C
536,10.28,79.5,3.36,7.7,Yes,4,B
537,6.37,88.6,3.71,7.54,Yes,5,A
538,5.92,70.2,2.22,6.36,No,3,C
539,8.0,100.0,2.84,6.65,Yes,4,B
540,6.0,76.1,2.61,5.5,No,4,B
541,6.33,82.2,3.22,7.36,Yes,4,B
542,5.99,66.4,2.3,5.63,No,3,C
543,8.8,79.8,3.63,8.02,No,3,B
544,7.02,72.7,3.54,6.02,Yes,4,B
545,9.3,74.3,3.01,4.55,Yes,4,B
546,12.11,88.6,3.97,,Yes,6,A
547,8.05,84.5,3.26,6.16,Yes,4,B
548,4.59,72.8,3.5,3.85,No,2,C
549,7.6,77.7,3.46,4.82,Yes,5,B
550,4.44,77.4,3.23,8.21,Yes,4,B
551,4.7,67.7,2.83,9.5,Yes,3,C
552,4.78,70.6,2.59,6.16,No,3,C
553,9.27,88.8,3.4,8.3,Yes,4,A
554,13.67,81.5,3.29,5.65,Yes,5,B
555,12.99,91.0,3.93,7.44,Yes,5,A
556,14.74,86.7,3.45,7.43,Yes,6,A
557,2.99,48.3,1.85,5.18,No,2,F
558,9.93,87.3,,8.84,Yes,6,A
